subject,prompt
girl illustration,"digital girl illustration by krestian storgin art,, in the style of romantic soft focus and ethereal light,, beach portraits,, charming anime characters,, pink,, highly detailed,, eye-catching,, wavy --ar 9:16 --s 250 --v 6., 0 --style raw"
woman,"a young woman standing in the grass,, in the style of stark black-and-white photography,, hasselblad 1600f,, coastal landscapes,, expressive facial features,, dutch landscapes,, soft atmospheric scenes,, powerful portraits --ar 68:128 --stylize 750 --v 5., 2"
Pulitzer Prize,"A picturesque beach at twilight,, the tranquility of the ocean,, with calming waves of turquoise and silver shimmering., focus on the serene horizon and textures of the sand., Pulitzer Prize-winning photography,, Jack Spencer --ar 2:3 --v 5., 2"
Unique,"Unique,, innovative,, and creative food logo design with quirky and whimsical icons and hand-drawn illustrations vector hd on artistic plum colors background::2 --q 2 --v 5"
bunny cub,"Full Body Shot of an anime fluffy bunny cub,, pink fur and big ears,, by Studio Ghibli,, pastel color,, Unreal engine,, Octane render,, cheerful yellow background::2,, --ar 2:3 --q 2 --niji 5"
painting,"the painting is colored in orange,, black and yellow,, in the style of complex compositions,, dark white and light red,, circular abstraction,, dmitry spiros,, industrial materials,, balanced proportions,, hard edge painting --ar 71:128 --stylize 750 --v 5., 2"
portrait,"portrait of jean-michel basquiat sitting on a chair,, his hands are joint in front of his mouth,, he is deeply absorbed in his thoughts with an inspired face,, colorful drawings in basquiat style come out of his head and float,, front view,, masterpiece,, hyperrealistic,, 32k uhd,, hr,, hres,, high detail --ar 5:7"
photo,"The photo shows a figure in dark armor and hood holding a sword and walking through an ancient stone corridor surrounded by vegetation., The photo has a misty atmosphere that adds to the mystery and mysticism of the setting,, --v 6., 0 --ar 9:16"
Retro,"Retro,, vintage,, and nostalgic restaurant logo design with rustic brown and cream letters and vintage cutlery vector hd on CYMK background::2 --q 2 --v 5"
Keep,"a young,, elegant fashion model emerging from the sea,, adorned in a radiant and shimmering silver metal attire., The environment and the attire should blend seamlessly,, radiating a sense of mystique and otherworldly beauty., Keep the focus on the interplay of light and the metallic gleam,, highlighting the ethereal glow amidst the natural backdrop of the sea., --ar 4:5 --s 1000 --c 100 --w 1000 --v 5., 2 --style raw"
Half woman,"Half woman,, half android robot,, Instagram model look,, beautiful,, full body,, hyper realistic"
woman,"a woman with black hair who weeps dark smoke from her eyes,, black,, bright light,, golden hues,, green,, emeralds,, elegant,, ornate,, regal,, mysterious,, romantic --v 5., 2"
lightup purple girl,"a beautiful lightup purple girl is posing in front of her neon clothing,, in the style of dark orange and azure,, shallow depth of field,, sunny impressionism,, light green and red,, close-up intensity,, photo-realistic techniques,, bright and bold color palette --ar 1:2 --stylize 750 --v 5., 2"
quadratura,"christmas card santa claus in sled,, in the style of 32k uhd,, quadratura,, lively and energetic --ar 7:9 --stylize 750 --v 5., 2"
girl,"ittle girl holding a present in hands while santa stands over her,, in the style of dramatic atmospheric perspective,, photorealistic still lifes,, night photography,, loose gestures,, uhd image,, depictions of inclement weather,, spectacular show of ages --ar 16:9"
realism,"abstract realism painting in orange and grey with modern brush techniques,, in the style of bauhaus functional design,, light yellow and dark red,, circular shapes,, dmitry spiros,, abstract sculpture,, layered and complex compositions,, masculine neo-cubism --ar 71:128 --stylize 750 --v 5., 2"
james jean,"an abstract head with animallike features,, in the style of futuristic cyberpunk,, james jean,, light brown and cyan,, highly detailed illustrations,, symmetrical balance,, jeff danziger,, aykut aydogdu --ar 37:55 --stylize 750 --v 5., 2"
Deformed,"Beautiful brown man,, clear features,, hot food,, digital image,, 16K,, more focus --no 2 heads,, 2 faces,, heterochromia,, cropped image,, ((hat)),, ((belt)),, out of frame,, necklace,, draft,, deformed hands,, twisted fingers,, double image,, malformed hands,, multiple heads,, extra limb,, ugly,, poorly drawn hands,, missing limb,, disfigured,, cut-off,, ugly,, grainy,, low-res,, Deformed,, blurry,, bad anatomy,, poorly drawn face,, mutation,, mutated,, floating limbs,, disconnected limbs,, disgusting,, mutilated,, mangled,, extra fingers,, duplicate artifacts,, morbid,, gross proportions,, missing arms,, mutated hands,, mutilated hands,, cloned face,, malformed,, blur,, haze,, out of focus,, low resolution,, low quality,, watermark,, out of frame,, uneven exposure,, tattoos,, bad composition,, jpeg artifacts,, text"
time traveller woman,time traveller woman
sci fi,"alien ruins,, sci fi,, blurred,, soft light,, golden ration,, far future --c 75 --v 6., 0"
Jim Steranko,"A vintage illustration of a retro computer,, vaporwave aesthetic,, in the style of Jim Steranko,, light pink and light blue,, Behance,, white background --v 5., 2"
blue,"beautiful red,, blue and gold makeup on a woman,, in the style of venetian scenes,, hyperrealistic sculptures,, dark teal and white,, aurorapunk --ar 1:2 --stylize 750 --v 6"
picture,"a picture of a beautiful girl in a portrait,, in the style of mote kei,, light orange and light beige,, zeiss batis 18mm f/2., 8 --ar 1:2 --stylize 750 --v 6"
girl,"anime girl,, in the style of frank thorne,, romanticized femininity,, makoto aida,, elegant,, emotive faces,, close up --ar 3:4 --stylize 750 --niji 5"
Steven Belledin,"a nun holding a gun in a hallway,, poster art by Steven Belledin,, behance contest winner,, serial art,, behance hd,, artstation hd,, movie still"
"Studio Ghibli
 ","Light watercolor,, cat and a dog sleeping,, bright,, white background,, few details,, dreamy,, Studio Ghibli
 (((facing viewer))),, 64 bits Pixel Art"
Graffiti Los Angeles,"Graffiti Los Angeles,, street art that says ""Microsoft"",, urban graffiti --v 6., 0"
japanesian geisha beautiful,"japanesian geisha beautiful image wallpaper,, in the style of joel robison,, light white and dark crimson,, samyang af 14mm f/2., 8 rf,, classical figurative realism,, 500–1000 ce,, sculpted,, anime-influenced --ar 1:2 --stylize 750 --v 6"
evening gown,"most elegant evening gown made with lace and silk trim,, ivory+ blush+ champagne colors,, product photography,, timeless elegance,, intricate embroidery,, displayed on glossy reflective runway,, reflection,, Rim lighting,, moonlight lighting,, soft- side- lighting,, Unreal engine,, fashion statement,, extreme detail,, set against clean and dark navy background:: --v 5 --q 2"
Lexeme-Taste Synesthesia,"An anime fierce female character,, fierce red dragon-inspired clothing,, dynamic battle pose,, Lexeme-Taste Synesthesia style,, Unreal engine,, epic lightning and water bending shot,, raging storm background --v 5., 2 --style raw --ar 9:16"
greg hildebrandt,"free realistic painting,, in the style of greg hildebrandt,, feminine body,, coastal landscapes,, john larriva,, spray painted realism,, beige,, hard-edge painting --ar 35:64 --stylize 750 --v 5., 2"
girl standing,"a girl standing in a field with a scarf,, in the style of dark and brooding designer,, voluminous mass,, photobash,, serene faces,, jagged edges,, navy,, natural beauty --ar 69:128 --stylize 750 --v 6"
images,"images of human head from digital art book,, in the style of dark amber and violet,, surreal 3d landscapes,, spherical sculptures,, realistic anatomies,, uhd image,, emphasizes emotion over realism,, distinct framing --s 750 --v 5., 2 --style raw --ar 51:64"
Overcast,"Sunny morning,, A colorful garden,, Overcast with soft light,, blooming flowers,, shot by Graciela Iturbide,, dreamy,, 3D,, vibrant and enchanting,, Low Angle Shot,, Trigun,, exceptional quality,, fine detail,, Ultra HD --q 2 --v 5 --ar 9:16"
doll,"a doll with red splashed paint on her face,, in the style of fluid,, organic forms,, uniformly staged images,, audio-visual installations,, hyper-realistic water,, digitally enhanced,, dance,, monochromatic color schemes --ar 64:51 --s 750 --v 5., 2 --style raw"
blurry,"The Epic of Gilgamesh --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, extra fingers,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers"
photography,"disposable photography of a beautiful white girl with white puff dress,, sitting on flowerbed,, dreamy mood"
Focus on the,"A bustling city street at noon,, the rhythm of the traffic,, with fast cars of silver and black zooming., Focus on the vibrant energy and textures of the architecture., Pulitzer Prize-winning photography,, Greg Girard --ar 2:3 --v 5., 2"
Coles Phillips,"An icon design,, 3D,, food icon,, delicious,, appetizing light,, enticing feeling,, vibrant colors,, savory colors,, mouthwatering colors,, flavorful,, Coles Phillips,, clean and appetizing background::2 --q 2 --niji 5"
Jane Fonda,"vintage photo of beautiful blonde pagan priestess sitting in a dark wood throne,, in the style of witchcore,, in the style of 1960s horror movies,, in the style of Nico,, Jane Fonda,, nightmare mood,, fierce eyes,, 1960s beauty,, portrait photo,, --no crown,, shot on film camera,, shot on Leica camera,, shot on 85mm lens,, old photo,, strong film grain --ar 4:6 --style raw --stylize 300 --v 5., 1"
gothic dark,"a gothic oil painting of a vaudeville joker:: א‎ air 🜁,, in the style of trompe-l'œil illusionistic detail,, blink-and-you-miss-it detail,, wiccan,, divine lithograph,, gothic dark and macabre,, romantic goth,, gothic dark and ornate"
Lü Ji,"a woman taking a selfie with cherry blossom trees in the background,, a picture by Lü Ji,, trending on cg society,, aestheticism,, pretty,, beautiful,, lovely"
girl,"A girl in the wild,, pointilism,, traditional chinese style,, HD,, detailed"
photograph,"professional photograph,, Southeast Asian market,, evening,, street vendors,, local foods,, spices,, handmade goods,, crowded,, warm glow,, vibrant colors,, lively atmosphere,, cultural richness --ar 16:9"
car,"Leaning against car,, underground street racing,, oversized racing jacket,, racing gloves,, oversized clothes,, night,, glow,, glowing,, close-up,, smug,, (smile:0., 8),, SAI Pixel Art"
Highest,"Jean claude van damme in kowloon walled city at night,, Highest facial details,, Exploration of Morality and Decadence,, the pursuit of pleasure,, and the consequences of aestheticism,, Faustian theme,, Cultural and Historical Context"
America,"superhero from America,, handsome,, perfect body,, perfect face,, wings like a bird,, hd,, 4k,, 8k,, vintage,, hyper details,, volumetric lighting,, cinematic lights,, on city highways,, traffic,, epic cinematic,, extremely high detail,, 8K wallpaper,, Film Grain,, 3d,, denoise,, redshift style,, phoshoot"
kintsukuroi,"a woman dressed as a clown with red hair,, in the style of magical girl,, colorful moebius,, light yellow and dark crimson,, pencilsteampunk,, kintsukuroi,, loose and fluid,, stylish costume design --ar 68:128 --stylize 750 --v 5., 2"
sci,"fantastic planet,, sci fi --c 100"
Animation Studio,"A bird with vibrant feathers,, in a feathered headpiece,, with sparkling eyes and a mischievous expression,, tribal helmet,, intricate decorations,, created by Animation Studio,, Quentin Blake,, wearing a lightweight armor made of feathers,, dancing in a mystical forest,, surrounded by enchanting trees,, nature background --v 5., 1 --style raw --ar 9:16"
Kanō Naizen,"a close up of a person with a camera,, a photorealistic painting by Kanō Naizen,, cgsociety,, computer art,, ilya kuvshinov,, anime aesthetic,, artstation hd"
Vampirella Ella Normandy,"Vampirella Ella Normandy from Warren Publishing,, beautiful charismatic girl,, athletic body,, gorgeous figure,, interesting shapes,, full body shot,, atmosphere of horror and fear,, in the style of horror films,, in the style of jessica drossin,, kitsch,, life-size figures,, catcore,"
receptionist airport carpark,welcoming female receptionist airport carpark uk high viz yellow waistcoat very friendly
Autumn,Autumn forest path in the style of Ansel Adam
